node_id,location_name,details,year,lon,lat
1 - BetaCoV,Wuhan,IPBCAMS-WH-01,2019,114.305539,30.592849
2 - BetaCov,Wuhan,WHO01,2019,114.305539,30.592849
3 - BetaCoV,Wuhan,IV DC-HB-01,2019,114.305539,30.592849
4 - BetaCoV,Wuhan,IV DC-HB-05,2019,114.305539,30.592849
5 - BetaCoV,Wuhan,WIV04,2019,114.305539,30.592849
6 - BetaCoV,Wuhan,WIV02,2019,114.305539,30.592849
7 - BetaCoV,Wuhan,WIV05,2019,114.305539,30.592849
8 - BetaCoV,Wuhan,WIV06,2019,114.305539,30.592849
9 - BetaCoV,Wuhan,WIV07,2019,114.305539,30.592849
10 - BetaCoV,Wuhan,HBCDC-HB-01,2019,114.305539,30.592849
11 - BetaCoV,Wuhan,IPBCAMS-WH-04,2019,114.305539,30.592849
12 - BetaCoV,Wuhan,IPBCAMS-WH-03,2019,114.305539,30.592849
13 - BetaCoV,Wuhan,IPBCAMS-WH-02,2019,114.305539,30.592849
14 - BetaCoV,Wuhan,IV DC-HB-04,2020,114.305539,30.592849
15 - BetaCoV,Wuhan,IPBCAMS-WH-05,2020,114.305539,30.592849
16 - BetaCov,Wuhan,WH03,2020,114.305539,30.592849
17 - BetaCoV,China,WHU01,2020,104.195397,35.86166
18 - BetaCoV,China,WHU02,2020,104.195397,35.86166
19 - BetaCov,Wuhan,WH04,2020,114.305539,30.592849
20 - BetaCoV,Nonthaburi,6 1,2020,100.5216508,13.8591084
21 - BetaCoV,China,WH-09,2020,104.195397,35.86166
22 - BetaCoV,Shenzhen,HKU-SZ-002,2020,114.057865,22.543096
23 - BetaCoV,Shenzhen,HKU-SZ-005,2020,114.057865,22.543096
24 - BetaCoV,Jiangxi,IV DC-JX-002,2020,114.9042208,27.0874564
25 - BetaCoV,Nonthaburi,74,2020,100.5216508,13.8591084
26 - BetaCoV,Shenzhen,SZTH-00 1,2020,114.057865,22.543096
27 - BetaCoV,Shenzhen,SZTH-002,2020,114.057865,22.543096
28 - BetaCoV,Nepal,6 1,2020,84.12400799999999,28.394857
29 - BetaCoV,Guangdong,20SFO0 12,2020,113.7632828,23.3790333
30 - BetaCoV,Guangdong,20SFO0 13,2020,113.7632828,23.3790333
31 - BetaCoV,Guangdong,20SFO0 14,2020,113.7632828,23.3790333
32 - BetaCoV,Guangdong,20SF025,2020,113.7632828,23.3790333
33 - BetaCoV,Sichuan,ITVDC-SC-00 1,2020,102.8054753,30.26380319999999
34 - BetaCoV,Zhejiang,WZ-0 1,2020,119.7889248,29.1416432
35 - BetaCoV,Shenzhen,SZTH-003,2020,114.057865,22.543096
36 - BetaCoV,Shenzhen,SZTH-004,2020,114.057865,22.543096
37 - BetaCoV,Guangdong,20SF028,2020,113.7632828,23.3790333
38 - BetaCoV,Zhejiang,WZ-02,2020,119.7889248,29.1416432
39 - BetaCoV,Yunnan,IVDC- Y N-003,2020,101.3431058,24.4752847
40 - BetaCoV,Guangdong,20SF040,2020,113.7632828,23.3790333
41 - BetaCoV,Chongqing,IVDC-CQ-00 1,2020,106.912251,29.4315861
42 - BetaCoV,Beijing,IV DC-BJ-005,2020,116.4073963,39.90419989999999
43 - BetaCoV,USA,WA 1,2020,-95.712891,37.09024
44 - BetaCoV,Hangzhou,HZCDC000 1,2020,120.15507,30.274084
45 - BetaCoV,Shandong,IVDC-SD-00 1,2020,117.9249002,35.8939566
46 - BetaCoV,Jiangsu,IVDC-JS-00 1,2020,119.7889248,33.1401715
47 - BetaCoV,Zhejiang,Hangzhou- 1,2020,119.7889248,29.1416432
48 - BetaCoV,Shanghai,IV DC-SH-00 1,2020,121.473701,31.230416
49 - BetaCo V,Henan,IVDC-HeN-002,2020,113.3823545,34.2904302
50 - BetaCoV,USA,IL 1,2020,-95.712891,37.09024
51 - BetaCoV,Chonggqing,Y C0 1,2020,106.912251,29.4315861
52 - BetaCoV,Fujian,8,2020,117.9249002,26.4836842
53 - BetaCoV,USA,CA2,2020,-95.712891,37.09024
54 - BetaCoV,USA,AZ1,2020,-95.712891,37.09024
55 - BetaCoV,Guangdong,20SF174,2020,113.7632828,23.3790333
56 - BetaCoV,Guangzhou,20SF206,2020,113.264385,23.12911
57 - BetaCo V,Foshan,20SF207,2020,113.121435,23.021478
58 - BetaCo V,Foshan,20SF2 10,2020,113.121435,23.021478
59 - BetaCoV,Foshan,20SF21 1,2020,113.121435,23.021478
60 - BetaCoV,Sydney,2,2020,151.2092955,-33.8688197
61 - BetaCoV,Fujian,13,2020,117.9249002,26.4836842
62 - BetaCoV,Taiwan,2,2020,120.960515,23.69781
63 - BetaCoV,USA,CA1,2020,-95.712891,37.09024
64 - BetaCoV,Guangdong,20SF201,2020,113.7632828,23.3790333
65 - BetaCo V,France,IDF0372,2020,2.213749,46.227638
66 - BetaCoV,France,IDF0373,2020,2.213749,46.227638
67 - BetaCoV,Singapore, 1,2020,103.819836,1.352083
68 - BetaCoV,Chonggqing,ZX0 1,2020,106.912251,29.4315861
69 - BetaCoV,Japan,OS-20-07- 1,2020,138.252924,36.204824
70 - BetaCo V,France,IDF0372-is1,2020,2.213749,46.227638
71 - BetaCoV,Jiangsu,JSO1,2020,119.7889248,33.1401715
72 - BetaCoV,Australia,NS WO 1,2020,133.775136,-25.274398
73 - BetaCoV,Taiwan,3,2020,120.960515,23.69781
74 - BetaCoV,Jiangsu,JSO2,2020,119.7889248,33.1401715
75 - BetaCoV,Jiangsu,JSO3,2020,119.7889248,33.1401715
76 - BetaCoV,Australia,VICO1,2020,133.775136,-25.274398
77 - BetaCoV,Japan,AI,I-004,138.252924,36.204824
78 - BetaCoV,Korea,KCDC03,2020,127.766922,35.907757
79 - BetaCoV,USA,WA1-A12,2020,-95.712891,37.09024
80 - BetaCoV,USA,W A 1-F6,2020,-95.712891,37.09024
81 - BetaCoV,Singapore,2,2020,103.819836,1.352083
82 - BetaCoV,Sydney,3,2020,151.2092955,-33.8688197
83 - BetaCoV,Japan,NA-20-05- 1,2020,138.252924,36.204824
84 - BetaCoV,Taiwan,CGMH-CGU-01,2020,120.960515,23.69781
85 - BetaCo V,USA,CA6,2020,-95.712891,37.09024
86 - BetaCoV,Singapore,7,2020,103.819836,1.352083
87 - BetaCo V,Cambodia,00 12,2020,104.990963,12.565679
88 - BetaCoV,Germany,BavPat 1,2020,10.451526,51.165691
89 - BetaCoV,Australia,QLD0O1,2020,133.775136,-25.274398
90 - BetaCoV,USA,IL2,2020,-95.712891,37.09024
91 - BetaCoV,France,IDF0386-isIP 1,2020,2.213749,46.227638
92 - BetaCoV,France,IDF0386-isIP3,2020,2.213749,46.227638
93 - BetaCoV,Taiwan,4,2020,120.960515,23.69781
94 - BetaCoV,England,01,2020,-1.1743197,52.3555177
95 - BetaCoV,England,02,2020,-1.1743197,52.3555177
96 - BetaCoV,Finland,1,2020,25.7481511,61.92410999999999
97 - BetaCoV,USA,CA3,2020,-95.712891,37.09024
98 - BetaCoV,USA,CA4,2020,-95.712891,37.09024
99 - BetaCoV,USA,CA5,2020,-95.712891,37.09024
100 - BetaCo V,France,IDF05 15,2020,2.213749,46.227638
101 - BetaCov,France,IDF0626,2020,2.213749,46.227638
102 - BetaCoV,Japan,TY -WK-012,2020,138.252924,36.204824
103 - BetaCoV,Japan,K Y-V-029,2020,138.252924,36.204824
104 - BetaCoV,USA,MA 1,2020,-95.712891,37.09024
105 - BetaCoV,Italy,IN MI1-isl,2020,12.56738,41.87194
106 - BetaCoV,France,IDF0515-is1,2020,2.213749,46.227638
107 - BetaCoV,Australia,QLD02,2020,133.775136,-25.274398
108 - BetaCoV,Taiwan,NTU01,2020,120.960515,23.69781
109 - BetaCoV,Japan,T Y -WK-50 1,2020,138.252924,36.204824
110 - BetaCoV,Japan,TY -WK-52 1,2020,138.252924,36.204824
111 - BetaCoV,USA,WI1,2020,-95.712891,37.09024
112 - BetaCoV,Italy,INMI1-cs,2020,12.56738,41.87194
113 - BetaCoV,Singapore,3,2020,103.819836,1.352083
114 - BetaCoV,Singapore,1 1,2020,103.819836,1.352083
115 - BetaCoV,France,IDF057 1,2020,2.213749,46.227638
116 - BetaCoV,Belgium,GHB-0302 1,2020,4.469936,50.503887
117 - BetaCoV,Singapore,4,2020,103.819836,1.352083
118 - BetaCoV,Singapore,8,2020,103.819836,1.352083
119 - BetaCoV,Singapore,9,2020,103.819836,1.352083
120 - BetaCoV,Singapore,10,2020,103.819836,1.352083
121 - BetaCov,Taiwan,NTU02,2020,120.960515,23.69781
122 - BetaCoV,Australia,QLD03,2020,133.775136,-25.274398
123 - BetaCoV,Australia,QLD04,2020,133.775136,-25.274398
124 - BetaCoV,Singapore,5,2020,103.819836,1.352083
125 - BetaCoV,USA,CA7,2020,-95.712891,37.09024
126 - BetaCo V,Wuhan,WH05,2020,114.305539,30.592849
127 - BetaCoV,Sweden,0 1,2020,18.643501,60.12816100000001
128 - BetaCoV,France,RA739,2020,2.213749,46.227638
129 - BetaCoV,Singapore,6,2020,103.819836,1.352083
130 - BetaCoV,USA,CA8,2020,-95.712891,37.09024
131 - BetaCoV,USA,TX 1,2020,-95.712891,37.09024
